time,motor.m1,motor.m2,motor.m3,motor.m4,
13210,0,0,0,0,
13310,0,0,0,0,
13410,0,0,0,0,
13510,0,0,0,0,
13610,0,0,0,0,
13710,0,0,0,0,
13810,0,0,0,0,
13910,0,0,0,0,
14010,0,0,0,0,
14110,0,0,0,0,
14210,0,0,0,0,
14310,0,0,0,0,
14410,0,0,0,0,
14510,0,0,0,0,
14610,0,0,0,0,
14710,0,0,0,0,
14810,0,0,0,0,
14910,0,0,0,0,
15010,0,0,0,0,
15110,0,0,0,0,
15210,0,0,0,0,
15310,37294,36662,33890,34846,
15410,23438,33550,53640,45892,
15510,28510,32422,47694,42230,
15610,46337,50881,59361,52869,
15710,31982,41448,11832,25730,
15810,22180,25586,35140,0,
15910,32916,28180,32348,41100,
16010,40016,38718,49700,41422,
16110,22469,21667,30729,32083,
16210,65535,42982,51718,35488,
16310,44200,65535,65535,61048,
16410,0,65535,24207,56975,
16510,65535,17972,65535,27252,
16610,55808,42898,15798,65356,
16710,20812,38872,26622,47546,
16810,43423,33177,33549,25611,
16910,42923,41787,43993,45877,
17010,37722,50154,46804,45532,
17110,48593,40073,45193,38025,
17210,42262,41046,45098,41122,
17310,36902,45190,47734,39362,
17410,48109,38933,47789,38669,
17510,48093,42347,45623,39961,
17610,42707,42657,48411,40457,
17710,43186,41836,47404,42214,
17810,47159,39775,45537,41289,
17910,43251,43385,48039,39169,
18010,44401,40943,49459,42313,
18110,46540,41094,46102,41404,
18210,42280,43982,48096,39414,
18310,40496,40682,49660,41426,
18410,44632,43808,44992,40432,
18510,43906,43276,45406,41140,
18610,38712,42854,50092,41550,
18710,46876,42350,42854,41092,
18810,46534,43548,43082,41008,
18910,40276,42546,48956,42906,
19010,44782,42248,46154,42996,
19110,45509,44057,45135,40115,
19210,40964,43406,48884,41950,
19310,45001,41653,45175,40847,
19410,43204,40906,44812,40254,
19510,41098,40898,46870,42362,
19610,45592,43066,42780,40654,
19710,42884,41544,47240,42700,
19810,42300,44454,47084,38954,
19910,41868,40698,47558,42724,
20010,45313,39875,44683,43141,
20110,41597,42767,48325,40523,
20210,44447,41207,45775,41611,
20310,44208,43074,44902,40908,
20410,41267,43331,48007,40323,
20510,44560,41806,44562,41572,
20610,45560,41482,45124,42582,
20710,42545,42163,47163,41169,
20810,44591,41697,44167,40789,
20910,42396,42006,45498,40912,
21010,43886,44418,45036,39292,
21110,43279,42393,45415,40637,
21210,44443,43297,44709,40523,
21310,44745,43657,45265,41701,
21410,46416,44528,42974,40378,
21510,44878,41458,44826,42510,
21610,44773,43281,44629,41077,
21710,47452,41874,41290,40916,
21810,44469,41687,44527,40341,
21910,43849,41281,43411,39663,
22010,42816,40402,44080,40446,
22110,41073,42331,47459,39213,
22210,45234,43874,43416,39152,
22310,46768,43248,44338,40850,
22410,40592,42842,50582,41972,
22510,45013,42135,44841,43011,
22610,47471,43511,41947,40451,
22710,41583,42925,48199,40161,
22810,41273,42449,47469,39105,
22910,45812,43030,40472,38498,
23010,42965,42535,43727,38809,
23110,43787,40455,43555,42079,
23210,43308,40558,46034,42892,
23310,42382,46544,48252,39106,
23410,45876,42440,44482,43114,
23510,45503,41491,44047,42179,
23610,41949,41791,47473,42423,
23710,42523,42093,44821,41011,
23810,45655,44311,42629,38641,
23910,41607,41107,45631,41335,
24010,43371,41921,44597,41687,
24110,45142,40826,43624,43032,
24210,42715,42647,44949,41385,
24310,44035,41931,45557,41909,
24410,45620,43648,43866,40166,
24510,41588,42312,46776,41364,
24610,42435,44253,44673,39931,
24710,44859,44797,40983,37305,
24810,42964,43124,42936,38196,
24910,39590,42612,47984,40030,
25010,45495,42769,41813,41307,
25110,45125,43007,43005,41347,
25210,41011,42503,48987,42515,
25310,41085,41625,48199,42503,
25410,44075,41751,43409,43213,
25510,46810,43780,41746,40736,
25610,43077,40759,44967,43117,
25710,39291,40619,46897,40397,
25810,41143,42697,43603,39341,
25910,44394,44046,42570,39510,
26010,41527,41167,45123,42411,
26110,42620,40252,44664,42900,
26210,43251,44353,45127,40949,
26310,40916,44512,46208,40048,
26410,41424,42720,45100,40852,
26510,43423,44429,43561,38555,
26610,41500,44684,46166,38802,
26710,44023,42665,43437,41147,
26810,44720,42828,42406,40422,
26910,41111,42355,46813,40481,
27010,41312,41692,47646,40706,
27110,44864,44186,43362,38508,
27210,47164,44878,41876,38506,
27310,41976,41860,47854,42118,
27410,43205,42593,46141,41393,
27510,44265,44979,42723,38509,
27610,44862,42576,42258,39880,
27710,42272,43262,45536,39666,
27810,41462,39444,45144,42334,
27910,42079,42495,43099,37439,
28010,44113,41707,41443,37721,
28110,41526,40856,45792,39762,
28210,44462,42414,45142,40918,
28310,46213,47257,42847,36963,
28410,44895,45193,45605,41503,
28510,40930,45628,47526,39752,
28610,42750,44266,43484,39248,
28710,41703,42183,43183,40151,
28810,38470,43184,46920,38878,
28910,43120,43610,43244,40566,
29010,44136,42702,42492,40290,
29110,38873,43041,45687,39279,
29210,40011,40649,46593,42335,
29310,42778,41824,44932,41006,
29410,43580,44390,42968,38302,
29510,41985,42775,45175,39893,
29610,41235,42833,46575,40077,
29710,43055,43903,45313,39841,
29810,42872,43494,45544,39822,
29910,42811,42475,46037,41493,
30010,42783,42987,44351,40683,
30110,44188,42942,43406,39784,
30210,43416,42258,44012,40662,
30310,42065,42905,44095,39771,
30410,42818,41882,45230,42030,
30510,42967,42327,44571,41567,
30610,41281,42311,46895,40769,
30710,43593,43857,43315,39807,
30810,43970,43664,41416,38058,
30910,41386,42560,45238,38032,
31010,43983,44839,42683,38807,
31110,47136,42770,39760,40550,
31210,43105,43959,44125,39931,
31310,42766,43390,45706,41934,
31410,45557,42455,43471,42061,
31510,44452,45002,43594,40124,
31610,41073,43377,47225,40369,
31710,39586,42386,46708,39684,
31810,45517,43807,41119,39645,
31910,42947,44789,43095,38845,
32010,39973,42541,47173,41725,
32110,42093,40711,46441,43287,
32210,46032,44928,43008,39312,
32310,42185,43821,47375,40743,
32410,41476,40960,46534,42274,
32510,45204,42608,41882,40490,
32610,44139,42661,43961,40855,
32710,41278,42732,46014,41600,
32810,44048,43022,42150,40632,
32910,41443,41311,44385,43301,
33010,39336,43716,48596,41128,
33110,43410,43670,43710,40734,
33210,42311,41789,44077,42071,
33310,39804,42480,46128,40948,
33410,42302,43124,44720,41814,
33510,42763,44905,45541,40367,
33610,42970,43278,45830,42210,
33710,40621,42321,46371,43419,
33810,42292,43872,45906,41362,
33910,45648,44516,42038,40458,
34010,43351,41693,44057,44567,
34110,40195,42019,47783,44951,
34210,43863,45201,43869,40443,
34310,42519,42919,44371,42147,
34410,38902,40464,45904,43218,
34510,40770,43406,43148,39720,
34610,43548,43478,40576,39758,
34710,41311,41315,43375,43659,
34810,40137,42443,46841,44591,
34910,42755,46491,44755,41491,
35010,43382,46276,44568,42054,
35110,41698,44544,46694,44112,
35210,44677,44727,43213,42979,
35310,42453,43641,45653,44577,
35410,40772,42018,45126,43620,
35510,41730,42874,42592,40936,
35610,42879,43167,42417,41397,
35710,40480,43286,44994,44416,
35810,42139,41969,43935,42993,
35910,47686,45570,38996,39564,
36010,38453,41761,47517,43821,
36110,39683,42561,46387,42369,
36210,46900,46590,38816,38242,
36310,39702,43958,46510,41702,
36410,40729,43859,44965,42895,
36510,45091,44981,40267,40905,
36610,42261,44769,44423,41991,
36710,41975,42689,44877,44071,
36810,41894,46126,47106,41798,
36910,42412,43954,44352,42998,
37010,40873,44319,44617,41051,
37110,42746,42802,41596,42068,
37210,44967,44347,40783,41711,
37310,39791,44687,47951,42291,
37410,42068,43852,43430,42274,
37510,46124,43362,38130,41600,
37610,41807,43745,43961,41775,
37710,40517,45145,45699,43455,
37810,46908,46158,38348,40990,
37910,39621,47269,46837,41049,
38010,40705,44505,44527,42611,
38110,44732,43202,39702,43400,
38210,39283,43817,43389,42859,
38310,39137,42741,44979,42303,
38410,42339,45439,42251,40303,
38510,40785,44561,43569,40741,
38610,41777,44669,42661,41473,
38710,44859,45213,41087,41765,
38810,39904,44904,46086,42618,
38910,41987,45043,43809,41629,
39010,43808,43660,41626,42302,
39110,39674,45424,45690,40204,
39210,42477,44081,42955,40163,
39310,43489,44171,43355,41453,
39410,40298,44826,47066,42102,
39510,42336,44756,45312,42492,
39610,43509,43881,44181,44329,
39710,37948,45258,48362,41336,
39810,40269,43715,44577,42415,
39910,43641,44029,42255,41563,
40010,41185,43981,44759,43547,
40110,39972,44106,45508,41954,
40210,42548,44594,42910,41592,
40310,41959,44249,43815,41545,
